County-Year,Turnout,Turnout-Change,Polling-Locations,Location-Change,County-Size,%Black2020,Blue,Media-Market
ADAMS-2012,0.6174,,35,,1,0.6,0,Cincinnati
ADAMS-2016,0.6836,0.0662,23,-12,1,0.6,0,Cincinnati
ADAMS-2020,0.7120,0.0284,21,-2,1,0.6,0,Cincinnati
ALLEN-2012,0.7006,,176,,7,12.7,0,Lima
ALLEN-2016,0.6867,-0.0138,88,-88,7,12.7,0,Lima
ALLEN-2020,0.7177,0.0310,88,0,7,12.7,0,Lima
ASHLAND-2012,0.6718,,49,,5,0.9,0,Cleveland
ASHLAND-2016,0.7081,0.0363,45,-4,5,0.9,0,Cleveland
ASHLAND-2020,0.7685,0.0604,39,-6,5,0.9,0,Cleveland
ASHTABULA-2012,0.6766,,127,,7,3.9,0,Cleveland
ASHTABULA-2016,0.6894,0.0128,104,-23,7,3.9,0,Cleveland
ASHTABULA-2020,0.7266,0.0372,104,0,7,3.9,0,Cleveland
ATHENS-2012,0.5852,,56,,5,2.9,0,Charleston
ATHENS-2016,0.6615,0.0762,56,0,5,2.9,1,Charleston
ATHENS-2020,0.6697,0.0082,56,0,5,2.9,1,Charleston
AUGLAIZE-2012,0.7505,,40,,4,0.7,0,Dayton
AUGLAIZE-2016,0.7585,0.0081,39,-1,4,0.7,0,Dayton
AUGLAIZE-2020,0.7984,0.0399,39,0,4,0.7,0,Dayton
BELMONT-2012,0.6484,,70,,6,4.2,0,Wheeling
BELMONT-2016,0.6780,0.0296,70,0,6,4.2,0,Wheeling
BELMONT-2020,0.7204,0.0424,70,0,6,4.2,0,Wheeling
BROWN-2012,0.6879,,32,,4,1,0,Cincinnati
BROWN-2016,0.7002,0.0123,32,0,4,1,0,Cincinnati
BROWN-2020,0.7316,0.0314,32,0,4,1,0,Cincinnati
BUTLER-2012,0.7132,,299,,10,9.8,0,Cincinnati
BUTLER-2016,0.7110,-0.0023,282,-17,10,9.8,0,Cincinnati
BUTLER-2020,0.7311,0.0201,282,0,10,9.8,0,Cincinnati
CARROLL-2012,0.7085,,24,,1,0.8,0,Cleveland
CARROLL-2016,0.7426,0.0341,23,-1,1,0.8,0,Cleveland
CARROLL-2020,0.7767,0.0341,23,0,1,0.8,0,Cleveland
CHAMPAIGN-2012,0.6778,,28,,3,2.2,0,Dayton
CHAMPAIGN-2016,0.7218,0.0440,28,0,3,2.2,0,Dayton
CHAMPAIGN-2020,0.7586,0.0368,28,0,3,2.2,0,Dayton
CLARK-2012,0.7135,,100,,8,9.1,0,Dayton
CLARK-2016,0.7051,-0.0084,90,-10,8,9.1,0,Dayton
CLARK-2020,0.7204,0.0153,90,0,8,9.1,0,Dayton
CLERMONT-2012,0.7311,,200,,9,1.9,0,Cincinnati
CLERMONT-2016,0.7391,0.0081,167,-33,9,1.9,0,Cincinnati
CLERMONT-2020,0.7671,0.0280,166,-1,9,1.9,0,Cincinnati
